2519
(128560439, 'ADA3', '603', 'C1', 'PORTO', 'PARANHOS', 'RUA VALE FORMOSO', 'PARAGEM SEM ABRIGO')
(112613540, 'CAL1', '0', 'C5', 'MATOSINHOS', 'CUSTÓIAS', 'RUA ANTONIO JOSE DE ALMEIDA', 'postalete')
(112613540, 'CAL2', '0', 'C5', 'MATOSINHOS', 'CUSTÓIAS', 'RUA ANTONIO JOSE DE ALMEIDA', 'postalete')
(112617111, 'CRG1', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA DO MOSTEIRO', 'PARAGEM COM ABRIGO C')
(112617111, 'CRG2', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA DO MOSTEIRO', 'PARAGEM COM ABRIGO C')
(128560423, 'CAM1', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA AMIAL', 'PARAGEM SEM ABRIGO')
(128560423, 'CAM3', '0', 'C6', 'PORTO', 'PARANHOS', 'RUA AMIAL', 'PARAGEM SEM ABRIGO')
(100118437, 'GENT3', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'AVENIDA REPUBLICA', 'com painel abrigo')
(111632976, 'CARR1', '0', 'C3', 'MATOSINHOS', 'SENHORA DA HORA', 'AVENIDA ANTONIO DOMINGUES DOS', 'postalete')
(111648486, 'CARR2', '0', 'C3', 'MATOSINHOS', 'SENHORA DA HORA', 'AVENIDA ANTONIO DOMINGUES DOS', 'postalete')
(311889487, 'CART', '0', 'C1', 'PORTO', 'LORDELO DO OURO', 'RUA ANTONIO CARDOSO', 'com painel abrigo')
(418091973, 'CAZ', '0', 'C1', 'PORTO', 'BONFIM', 'RUA NOVA DE S. CRISPIM', 'com painel abrigo')
(663689451, 'CB1', '0', 'C8', 'GONDOMAR', 'FÂNZERES', 'AVENIDA CARVALHA', 'PARAGEM COM ABRIGO C')
(663689451, 'CB2', '0', 'C8', 'GONDOMAR', 'FÂNZERES', 'AVENIDA CARVALHA', 'PARAGEM SEM ABRIGO')
(447872458, 'CBD1', '0', 'N16', 'VALONGO', 'ALFENA', 'RUA SAO VICENTE', 'PARAGEM SEM ABRIGO')
(447872458, 'CBD2', '0', 'N16', 'VALONGO', 'ALFENA', 'RUA SAO VICENTE', 'PARAGEM COM ABRIGO J')
(111619645, 'CBMN', '0', 'C4', 'MATOSINHOS', 'PERAFITA', 'RUA ALMEIRIGA NORTE', 'com painel abrigo')
(111619645, 'CBMN2', '0', 'C4', 'MATOSINHOS', 'PERAFITA', 'RUA ALMEIRIGA NORTE', 'postalete')
(430284855, 'CBN1', '276', 'C5', 'MAIA', 'MAIA', 'RUA AUGUSTO SIMOES', 'PARAGEM SEM ABRIGO')
(430284855, 'CBN2', '239', 'C5', 'MAIA', 'MAIA', 'RUA AUGUSTO SIMOES', 'PARAGEM SEM ABRIGO')
(111467280, 'CCB1', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA CAMILO C  BRANCO', 'com painel abrigo')
(111467280, 'CCB2', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA CAMILO C  BRANCO', 'postalete')
(299574280, 'CCBR', '0', 'C1', 'PORTO', 'PARANHOS', 'RUA LUIS WOODHOUSE', 'PARAGEM SEM ABRIGO')
(1224758731, 'CCC1', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA CLUBE DOS CACADORES', 'postalete')
(1224758731, 'CCC2', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA CONCEICAO FERNANDES', 'postalete')
(1224758703, 'CCL', '0', 'S1', 'VILA NOVA DE GAIA', 'CANIDELO', 'RUA BELGICA', 'postalete')
(793739645, 'CNTM', '0', 'C6', 'PORTO', 'CAMPANHÃ', '0', 'com painel abrigo')
(25632284, 'CDF1', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA ALVARES CABRAL', 'postalete')
(25632284, 'CDF2', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA CEDOFEITA', 'PARAGEM SEM ABRIGO')
(1279864316, 'CDFT1', '1712 E', 'S2', 'VILA NOVA DE GAIA', 'VALADARES', 'RUA JOSE M  C  PORTUGAL', 'postalete')
(1279864316, 'CDFT2', '1750', 'S2', 'VILA NOVA DE GAIA', 'VALADARES', 'RUA JOSE M  C  PORTUGAL', 'postalete')
(111467284, 'CDL2', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA VERA CRUZ', 'abrigo')
(1236467593, 'DNAP3', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA VILLAGARCIA DE AROSA', 'postalete')
(1236467593, 'DNAP4', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA VILLAGARCIA DE AROSA', 'PARAGEM SEM ABRIGO')
(430284855, 'LVR1', '478', 'C5', 'MAIA', 'MAIA', 'RUA AUGUSTO SIMOES', 'PARAGEM SEM ABRIGO')
(430284855, 'LVR2', '21', 'C5', 'MAIA', 'MAIA', 'RUA AUGUSTO SIMOES', 'PARAGEM COM ABRIGO J')
(430284855, 'LVR3', '0', 'C5', 'MAIA', 'MAIA', 'RUA SÃO ROMÃO', 'postalete')
(112617126, 'DPA1', '0', 'C9', 'GONDOMAR', 'RIO TINTO', 'RUA MEDANCELHE', 'postalete')
(112617126, 'DPA2', '0', 'C9', 'GONDOMAR', 'RIO TINTO', 'RUA MEDANCELHE', 'com painel abrigo')
(112617126, 'DPCH1', '0', 'C9', 'VALONGO', 'ERMESINDE', 'ENG. DUARTE PACHECO', 'com painel abrigo')
(112617126, 'DPCH2', '0', 'C9', 'VALONGO', 'ERMESINDE', 'ENG. DUARTE PACHECO', 'com painel abrigo')
(335560381, 'DPV2', '0', 'C1', 'PORTO', 'MASSARELOS', 'RUA VILAR', 'postalete')
(430267067, 'DRB1', '0', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA PADRE COSTA', 'PARAGEM SEM ABRIGO')
(430267067, 'DRB2', '816', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA PADRE COSTA', 'postalete')
(137896693, 'DT2', '0', 'C1', 'PORTO', 'BONFIM', 'AVENIDA RODRIGUES FREITAS', 'PARAGEM SEM ABRIGO')
(1279864319, 'DV2', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA VISCONDE DAS DEVESAS', 'postalete')
(100118436, 'DVE1', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA VISCONDE DAS DEVESAS', 'com painel abrigo')
(100118436, 'DVE2', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA BARAO DO CORVO', 'abrigo')
(479236120, 'EALX', '0', 'C2', 'PORTO', 'LORDELO DO OURO', 'RUA ARNALDO LEITE', 'postalete')
(111467284, 'EC', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'ALAMEDA EMPRESA', 'abrigo')
(112617128, 'ECC1', '0', 'C8', 'GONDOMAR', 'BAGUIM DO MONTE', 'RUA D. JOAO DE CASTRO', 'com painel abrigo')
(112617128, 'ECC2', '0', 'C8', 'GONDOMAR', 'BAGUIM DO MONTE', 'RUA D. JOAO DE CASTRO', 'com painel abrigo')
(416480025, 'SRHE3', '0', 'C2', 'MATOSINHOS', 'SENHORA DA HORA', 'AVENIDA ANTONIO DOMINGUES DOS', 'postalete')
(416480025, 'SRHR', '0', 'C2', 'MATOSINHOS', 'SENHORA DA HORA', 'AVENIDA ANTONIO DOMINGUES DOS', 'postalete')
(112617128, 'EDM1', '0', 'C8', 'GONDOMAR', 'BAGUIM DO MONTE', 'RUA VASCO DA GAMA', 'com painel abrigo')
(112617128, 'EDM2', '0', 'C8', 'GONDOMAR', 'BAGUIM DO MONTE', 'RUA VASCO DA GAMA', 'com painel abrigo')
(319327528, 'EDP1', '0', 'C1', 'PORTO', 'CAMPANHÃ', 'RUA FREIXO', 'PARAGEM SEM ABRIGO')
(319327528, 'EDP2', '0', 'C1', 'PORTO', 'CAMPANHÃ', 'RUA FREIXO', 'PARAGEM SEM ABRIGO')
(560400990, 'EIR3', '0', 'C1', 'PORTO', 'BONFIM', 'RUA BONFIM', 'PARAGEM SEM ABRIGO')
(311624110, 'ELV1', '311', 'S1', 'VILA NOVA DE GAIA', 'CANIDELO', 'RUA BELGICA', 'com painel abrigo')
(311624110, 'ELV2', '302', 'S1', 'VILA NOVA DE GAIA', 'CANIDELO', 'RUA BELGICA', 'postalete')
(100118454, 'QBV1', '0', 'S2', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA DOMINGOS DE MATOS', 'com painel abrigo')
(100118454, 'QBV2', '0', 'S2', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA DOMINGOS DE MATOS', 'com painel abrigo')
(1224758731, 'EMZ1', '0', 'S9', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA CONCEICAO FERNANDES', 'abrigo')
(1224758731, 'EMZ2', '0', 'S9', 'VILA NOVA DE GAIA', 'OLIVEIRA DO DOURO', 'RUA CONCEICAO FERNANDES', 'com painel abrigo')
(130212519, 'ENV', '0', 'C9', 'GONDOMAR', 'RIO TINTO', 'RUA ESTRADA NOVA', 'postalete')
(130212519, 'ENV2', '0', 'C9', 'GONDOMAR', 'RIO TINTO', 'RUA ESTRADA NOVA', 'postalete')
(112613613, 'ENX1', '0', 'C6', 'PORTO', 'PARANHOS', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'com painel abrigo')
(112613613, 'ENX2', '0', 'C6', 'MAIA', 'PEDROUÇOS', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'postalete')
(112613613, 'ENX3', '0', 'C9', 'MAIA', 'PEDROUÇOS', 'TRAVESSA DAS ENXUREIRAS', 'postalete')
(1224758731, 'EBSR1', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA CONCEICAO FERNANDEZ', 'com painel abrigo')
(1224758731, 'EBSR2', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA CONCEICAO FERNANDEZ', 'com painel abrigo')
(1236467507, 'CRV1', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA D. AFONSO HENRIQUES', 'com painel abrigo')
(1236467507, 'CRV2', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA D. AFONSO HENRIQUES', 'abrigo')
(1296455177, 'CRVH1', '0', 'C2', 'PORTO', 'LORDELO DO OURO', 'RUA OURO', 'PARAGEM SEM ABRIGO')
(1296455182, 'CRVH2', '0', 'C2', 'PORTO', 'LORDELO DO OURO', 'RUA OURO', 'PARAGEM SEM ABRIGO')
(1224758731, 'CRVL', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA CONCEICAO FERNANDES', 'postalete')
(444041716, 'CRZ1', '0', 'C9', 'VALONGO', 'ERMESINDE', 'RUA RODRIGUES FREITAS', 'PARAGEM SEM ABRIGO')
(444041716, 'CRZ2', '0', 'C9', 'VALONGO', 'ERMESINDE', 'RUA RODRIGUES FREITAS', 'PARAGEM SEM ABRIGO')
(430267067, 'CSAD1', '0', 'C9', 'MAIA', 'MILHEIRÓS', 'RUA DAS ESCOLAS', 'postalete')
(430267067, 'CSAD2', '0', 'C9', 'MAIA', 'MILHEIRÓS', 'RUA DAS ESCOLAS', 'postalete')
(280199207, 'SAL1', '0', 'C1', 'PORTO', 'PARANHOS', 'RUA AUGUSTO LESSA', 'postalete')
(444017068, 'SAL2', '0', 'C1', 'PORTO', 'PARANHOS', 'RUA AUGUSTO LESSA', 'postalete')
(276935832, 'SP3', '0', 'C6', 'PORTO', 'CAMPANHÃ', 'LARGO S. PEDRO', 'PARAGEM SEM ABRIGO')
(354912520, 'CSS3', '0', 'C1', 'PORTO', 'BONFIM', 'RUA PADRE ANTONIO VIEIRA', 'PARAGEM SEM ABRIGO')
(353287405, 'DCAS1', '0', 'C1', 'PORTO', 'BONFIM', 'RUA SANTA CATARINA', 'PARAGEM SEM ABRIGO')
(353287405, 'DCAS2', '0', 'C1', 'PORTO', 'SANTO ILDEFONSO', 'RUA SANTA CATARINA', 'PARAGEM SEM ABRIGO')
(112613546, 'CSX1', '4482', 'C5', 'MATOSINHOS', 'LEÇA DO BALIO', 'RUA MONTE DA MINA', 'postalete')
(112613546, 'CSX2', '4417', 'C5', 'MATOSINHOS', 'LEÇA DO BALIO', 'RUA MONTE DA MINA', 'postalete')
(112613546, 'CSXN1', '0', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA NOVA DO SEIXO', 'postalete')
(112613546, 'CSXN2', '0', 'C5', 'MATOSINHOS', 'CUSTÓIAS', 'RUA NOVA DO SEIXO', 'postalete')
(296058885, 'CSXS1', '0', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA NOVA DO SEIXO', 'com painel abrigo')
(296058885, 'CSXS2', '0', 'C5', 'MATOSINHOS', 'SENHORA DA HORA', 'RUA NOVA DO SEIXO', 'com painel abrigo')
(112613542, 'CTIO1', '0', 'C5', 'MATOSINHOS', 'LEÇA DO BALIO', 'RUA CUSTIO', 'postalete')
(112613542, 'CTIO2', '0', 'C5', 'MATOSINHOS', 'LEÇA DO BALIO', 'RUA CUSTIO', 'postalete')
(112617126, 'CTN1', '0', 'C9', 'GONDOMAR', 'RIO TINTO', 'RUA ESTRADA NOVA', 'postalete')
(130212519, 'CTN2', '0', 'C9', 'GONDOMAR', 'RIO TINTO', 'RUA ESTRADA NOVA', 'postalete')
(475082799, 'CTP', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA DAMIAO GOIS', 'PARAGEM COM ABRIGO J')
(112613538, 'CRMT1', '0', 'C5', 'MATOSINHOS', 'CUSTÓIAS', 'RUA CANDIDO DOS REIS', 'postalete')
(112613538, 'CRMT2', '1836', 'C5', 'MATOSINHOS', 'CUSTÓIAS', 'RUA CANDIDO DOS REIS', 'postalete')
(335740653, 'CTS', '0', 'C1', 'PORTO', 'RAMALDE', 'RUA CASTELOS', 'com painel abrigo')
(430267067, 'CTSS1', '1690', 'C5', 'MAIA', 'GUEIFÃES', 'RUA DE CATASSOL', 'PARAGEM COM ABRIGO C')
(430284855, 'CTSS2', '0', 'C5', 'MATOSINHOS', 'LEÇA DO BALIO', 'RUA DE CATASSOL', 'PARAGEM COM ABRIGO J')
(112613556, 'CTV1', '0', 'C2', 'PORTO', 'RAMALDE', 'RUA CEGONHAS', 'postalete')
(112613556, 'CTV2', '0', 'C2', 'PORTO', 'RAMALDE', 'RUA CEGONHAS', 'postalete')
(112613542, 'CUS1', '0', 'C5', 'MATOSINHOS', 'CUSTÓIAS', 'LARGO SOUTO', 'postalete')
(112613542, 'CUS4', '0', 'C5', 'MATOSINHOS', 'CUSTÓIAS', 'LARGO SOUTO', 'postalete')
(112613533, 'MP3', '0', 'C3', 'MATOSINHOS', 'CUSTÓIAS', 'RUA GENERAL JOSE VICENTE DE FR', 'postalete')
(112613533, 'MP4', '1236', 'C3', 'MATOSINHOS', 'CUSTÓIAS', 'RUA CANDIDO DOS REIS', 'postalete')
(112613540, 'CUSF1', '0', 'C5', 'MATOSINHOS', 'CUSTÓIAS', 'RUA CANDIDO DOS REIS', 'postalete')
(112613540, 'CUSF2', '0', 'C5', 'MATOSINHOS', 'CUSTÓIAS', 'RUA CANDIDO DOS REIS', 'postalete')
(429833953, 'CUTM1', '0', 'C9', 'MAIA', 'PEDROUÇOS', 'RUA D. ANTONIO CASTRO MEIRELES', 'com painel abrigo')
(429833953, 'CUTM2', '0', 'C9', 'MAIA', 'PEDROUÇOS', 'RUA ANTONIO SIMOES', 'com painel abrigo')
(663689451, 'CV1', '0', 'C8', 'GONDOMAR', 'FÂNZERES', 'AVENIDA CARVALHA', 'PARAGEM SEM ABRIGO')
(1316963161, 'CVA1', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA BOAVISTA', 'postalete')
(129953504, 'CVA2', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA ANIBAL CUNHA', 'PARAGEM SEM ABRIGO')
(431615495, 'CVD1', '0', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA PADRE COSTA', 'PARAGEM SEM ABRIGO')
(431615495, 'CVD2', '1202', 'C5', 'MATOSINHOS', 'S. MAMEDE DE INFESTA', 'RUA PADRE COSTA', 'postalete')
(475355976, 'CVI1', '0', 'C1', 'PORTO', 'CEDOFEITA', 'PRACA EXERCITO LIBERTADOR', 'PARAGEM SEM ABRIGO')
(475355976, 'CVI2', '0', 'C1', 'PORTO', 'CEDOFEITA', 'PRACA EXERCITO LIBERTADOR', 'PARAGEM COM ABRIGO J')
(1216751949, 'CVI3', '0', 'C1', 'PORTO', 'RAMALDE', 'RUA PRELADA', 'postalete')
(126592365, 'CVI4', '0', 'C1', 'PORTO', 'CEDOFEITA', 'AVENIDA FRANCA', 'com painel abrigo')
(1216751949, 'CVI5', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA PRELADA', 'postalete')
(435477343, 'CVLO', '0', 'C1', 'PORTO', 'PARANHOS', 'RUA COVELO', 'com painel abrigo')
(1209790950, 'CVLO1', '0', 'C1', 'PORTO', 'PARANHOS', 'RUA FARIA GUIMARAES', 'postalete')
(112617129, 'CVN1', '0', 'C8', 'GONDOMAR', 'RIO TINTO', 'RUA FERNAO DE MAGALHAES', 'com painel abrigo')
(112617129, 'CVN2', '0', 'C8', 'GONDOMAR', 'RIO TINTO', 'RUA FERNAO DE MAGALHAES', 'com painel abrigo')
(1224758703, 'CVO', '0', 'S2', 'VILA NOVA DE GAIA', 'MADALENA', 'RUA ALDEIA NOVA', 'postalete')
(112613540, 'CZG1', '0', 'N10', 'MAIA', 'MOREIRA', 'RUA CRUZ DAS GUARDEIRAS', 'com painel abrigo')
(112613540, 'CZG2', '0', 'N10', 'MAIA', 'MOREIRA', 'RUA CRUZ DAS GUARDEIRAS', 'postalete')
(1236467449, 'PREA1', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA VILLAGARCIA DE AROSA', 'com painel abrigo')
(1236467449, 'PREA2', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA VILLAGARCIA DE AROSA', 'com painel abrigo')
(473872067, 'CZV1', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA OLIVEIRA MONTEIRO', 'PARAGEM COM ABRIGO J')
(473872067, 'CZV2', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA OLIVEIRA MONTEIRO', 'PARAGEM COM ABRIGO J')
(475360031, 'CZV3', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA NOSSA SENHORA DE FATIMA', 'PARAGEM COM ABRIGO J')
(474616593, 'CZV4', '0', 'C1', 'PORTO', 'CEDOFEITA', 'RUA NOSSA SENHORA DE FATIMA', 'PARAGEM COM ABRIGO J')
(663689451, 'DAC1', '0', 'C8', 'GONDOMAR', 'FÂNZERES', 'AVENIDA CARVALHA', 'PARAGEM SEM ABRIGO')
(663689451, 'DAC2', '0', 'C8', 'GONDOMAR', 'FÂNZERES', 'AVENIDA CARVALHA', 'PARAGEM COM ABRIGO C')
(112613538, 'DACM1', '0', 'N10', 'MAIA', 'MOREIRA', 'RUA DAS GUARDEIRAS', 'postalete')
(112613538, 'DACM2', '0', 'N10', 'MAIA', 'MOREIRA', 'RUA DAS GUARDEIRAS', 'com painel abrigo')
(125366359, 'DAFC1', '15796', 'C2', 'MATOSINHOS', 'MATOSINHOS', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'com painel abrigo')
(125366359, 'DAFC2', '0', 'C2', 'PORTO', 'NEVOGILDE', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'com painel abrigo')
(111506653, 'DAH1', '15474', 'C2', 'MATOSINHOS', 'MATOSINHOS', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'com painel abrigo')
(111506653, 'DAH2', '0', 'C2', 'PORTO', 'NEVOGILDE', 'VIA RAPIDA ESTRADA DA CIRCUNVA', 'com painel abrigo')
(513920937, 'DAM', '0', 'C1', 'PORTO', 'BONFIM', 'RUA SANTOS POUSADA', 'postalete')
(299610763, 'DC1', '995', 'C1', 'PORTO', 'PARANHOS', 'RUA DIOGO CAO', 'PARAGEM SEM ABRIGO')
(299610586, 'DC2', '194', 'C1', 'PORTO', 'BONFIM', 'RUA LA COUTURE', 'PARAGEM SEM ABRIGO')
(445041897, 'DCPF1', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA NOVA DE S. GEMIL', 'com painel abrigo')
(445041897, 'DCPF2', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA NOVA DE S. GEMIL', 'com painel abrigo')
(112617137, 'DCS1', '0', 'C8', 'GONDOMAR', 'RIO TINTO', 'RUA DAVID CORREIA DA SILVA', 'postalete')
(112617137, 'DCS2', '0', 'C8', 'GONDOMAR', 'RIO TINTO', 'RUA DAVID CORREIA DA SILVA', 'postalete')
(111619645, 'DDA1', '0', 'C4', 'MATOSINHOS', 'LEÇA DA PALMEIRA', 'RUA HEROIS DE AFRICA', 'postalete')
(111619645, 'DDA2', '0', 'C4', 'MATOSINHOS', 'LEÇA DA PALMEIRA', 'RUA HINTZE RIBEIRO', 'com painel abrigo')
(137993249, 'HSM3', '252', 'C1', 'PORTO', 'CEDOFEITA', 'RUA ANTERO DE QUENTAL', 'PARAGEM SEM ABRIGO')
(387447918, 'IMTT1', '0', 'C2', 'PORTO', 'RAMALDE', 'AVENIDA FONTES PEREIRA DE MELO', 'PARAGEM COM ABRIGO J')
(387447918, 'IMTT2', '0', 'C2', 'PORTO', 'RAMALDE', 'AVENIDA FONTES PEREIRA DE MELO', 'PARAGEM COM ABRIGO J')
(128650147, 'ROTA2', '0', 'C6', 'PORTO', 'PARANHOS', 'AVENIDA FERNAO MAGALHAES', 'abrigo')
(475719552, 'DISP1', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA CONSELHEIRO VELOSO CRUZ', 'com painel abrigo')
(1279864319, 'DISP2', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA CONSELHEIRO VELOSO CRUZ', 'com painel abrigo')
(1108247114, 'SRVM3', '0', 'C2', 'PORTO', 'LORDELO DO OURO', 'LARGO D. JOAO III', 'com painel abrigo')
(1296455208, 'DL1', '0', 'C2', 'PORTO', 'LORDELO DO OURO', 'RUA SOBREIRAS', 'PARAGEM COM ABRIGO J')
(285908607, 'DL2', '0', 'C2', 'PORTO', 'LORDELO DO OURO', 'RUA SOBREIRAS', 'PARAGEM COM ABRIGO J')
(479512737, 'PJUV1', '0', 'C2', 'PORTO', 'LORDELO DO OURO', 'RUA PAULA DA GAMA', 'PARAGEM COM ABRIGO J')
(479512737, 'PJUV2', '0', 'C2', 'PORTO', 'LORDELO DO OURO', 'RUA PAULA DA GAMA', 'PARAGEM COM ABRIGO J')
(430267067, 'DMAN1', '0', 'C5', 'MAIA', 'VERMOIM', 'AVENIDA D. MANUEL II', 'abrigo')
(430267067, 'DMAN2', '0', 'C5', 'MAIA', 'VERMOIM', 'AVENIDA D. MANUEL II', 'com painel abrigo')
(100118454, 'AGOM1', '0', 'S8', 'VILA NOVA DE GAIA', 'VILA NOVA DE GAIA (SANTA MARINHA)', 'RUA AUGUSTO GOMES', 'postalete')
(112617112, 'MRT1', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA D. AFONSO HENRIQUES', 'PARAGEM SEM ABRIGO')
(112617112, 'MRT2', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA D. AFONSO HENRIQUES', 'PARAGEM COM ABRIGO J')
(96497006, 'ESGZ1', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA VILLAGARCIA DE AROSA', 'com painel abrigo')
(96497006, 'ESGZ2', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA VILLAGARCIA DE AROSA', 'com painel abrigo')
(431615495, 'FMGO3', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA DO MOSTEIRO', 'PARAGEM SEM ABRIGO')
(431615495, 'FMGO4', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA DO MOSTEIRO', 'PARAGEM SEM ABRIGO')
(1277620331, 'FMPT', '0', 'S8', 'VILA NOVA DE GAIA', 'MAFAMUDE', 'RUA JOAO DE BARROS', 'postalete')
(96496392, 'FNTL1', '0', 'C3', 'MATOSINHOS', 'MATOSINHOS', 'AVENIDA MENERES', 'PARAGEM SEM ABRIGO')
(112617126, 'FND1', '0', 'C9', 'VALONGO', 'ERMESINDE', 'CABEDA', 'PARAGEM SEM ABRIGO')
(112617126, 'FND2', '0', 'C9', 'VALONGO', 'ERMESINDE', 'CABEDA', 'PARAGEM SEM ABRIGO')
(444041716, 'FNT1', '0', 'N16', 'VALONGO', 'ALFENA', 'RUA 1§ MAIO', 'postalete')
(444041716, 'FNT2', '0', 'N16', 'VALONGO', 'ALFENA', 'RUA 1§ MAIO', 'postalete')
(444041716, 'FNTE1', '0', 'C9', 'VALONGO', 'ERMESINDE', 'RUA CENTRAL DA FONTE', 'PARAGEM COM ABRIGO J')
(444041716, 'FNTE2', '0', 'C9', 'VALONGO', 'ERMESINDE', 'RUA CENTRAL DA FONTE', 'PARAGEM COM ABRIGO J')
(510786372, 'FOCO1', '0', 'C1', 'PORTO', 'RAMALDE', 'AVENIDA BOAVISTA', 'PARAGEM COM ABRIGO J')
(126539514, 'FOCO3', '0', 'C1', 'PORTO', 'LORDELO DO OURO', 'AVENIDA BOAVISTA', 'PARAGEM COM ABRIGO J')
(848504878, 'IFOZ2', '0', 'C2', 'PORTO', 'FOZ DO DOURO', 'RUA PASSEIO ALEGRE', 'PARAGEM COM ABRIGO J')
(480476928, 'IFOZ1', '0', 'C2', 'PORTO', 'FOZ DO DOURO', 'RUA PASSEIO ALEGRE', 'PARAGEM SEM ABRIGO')
(335739958, 'FR2', '0', 'C1', 'PORTO', 'RAMALDE', 'RUA FRANCOS', 'postalete')
(112613538, 'FRA1', '0', 'N10', 'MAIA', 'MOREIRA', 'RUA DAS GUARDEIRAS', 'com painel abrigo')
(112613538, 'FRA2', '0', 'N10', 'MAIA', 'MOREIRA', 'RUA DAS GUARDEIRAS', 'com painel abrigo')
(111619645, 'FTV2', '0', 'C4', 'MATOSINHOS', 'LEÇA DA PALMEIRA', 'AVENIDA DR. ANTUNES GUIMARAES', 'com painel abrigo')
(111619645, 'FZL1', '0', 'C4', 'MATOSINHOS', 'LEÇA DA PALMEIRA', 'AVENIDA LIBERDADE', 'com painel abrigo')
(111619645, 'FZL2', '0', 'C4', 'MATOSINHOS', 'LEÇA DA PALMEIRA', 'AVENIDA LIBERDADE', 'com painel abrigo')
(112617112, 'GAN1', '0', 'C9', 'MAIA', 'ÁGUAS SANTAS', 'RUA D. AFONSO HENRIQUES', 'PARAGEM SEM ABRIGO')
(430267067, 'MTA2', '0', 'C5', 'MAIA', 'GUEIFÃES', 'RUA PROF D. MARIA FERREIRA DA', 'postalete')
(430267067, 'MTA3', '0', 'C5', 'MAIA', 'GUEIFÃES', 'RUA PROF D. MARIA FERREIRA DA', 'postalete')
